feature,gain,split
wind_knots,416938.24335861206,182
vis_km_rollmean3,393905.01040649414,62
vis_km,153828.10452651978,117
dew_depression,104900.62149810791,112
ceiling_m,57290.1170501709,117
slp_hpa,51006.17673110962,76
wind_knots_lag1,35442.358963012695,62
doy_cos,33203.23935317993,156
dew_depression_x_hour_sin,29001.640308380127,139
vis_km_lag1,28949.22262954712,22
doy_sin,23251.11142730713,157
wind_knots_rollmean3,22432.31251144409,83
ceiling_m_rollstd3,21061.080638885498,52
wind_knots_rollmean12,18752.62956237793,112
slp_delta_6h,18686.396713256836,99
slp_hpa_rollstd3,18547.63849258423,91
slp_hpa_rollmean3,18328.693035125732,53
slp_hpa_rollstd6,17717.74342727661,108
slp_hpa_lag12,17662.91618347168,120
dew_c_lag12,15675.70767211914,74
temp_c_lag12,15303.487621307373,67
ceiling_m_rollmean12,14951.805389404297,95
ceiling_m_rollstd12,14738.469596862793,80
wind_knots_rollstd12,14307.985851287842,108
slp_hpa_rollstd12,14227.12759399414,111
slp_hpa_lag2,13898.87977218628,47
dew_c_rollstd12,13624.727062225342,102
wind_accel_1h,13447.605716705322,53
ceiling_m_lag1,13212.605262756348,54
wind_dir_cos,13196.386989593506,70
dew_depression_min_6h,13183.241706848145,44
slp_hpa_rollmean12,13014.216361999512,95
dew_c_rollstd6,12639.65406036377,84
ceiling_m_rollstd6,12623.587852478027,65
dew_depression_rollmean12,12281.710689544678,50
wind_knots_rollmean6,12241.966381072998,93
lat,11904.797267913818,42
slp_hpa_rollmean6,11637.6429977417,84
dew_depression_rollstd12,11615.697017669678,89
wind_knots_rollstd6,11228.324451446533,84
temp_c_rollmean12,11101.286163330078,77
slp_delta_3h,10562.408149719238,83
temp_c_rollstd3,10384.771450042725,69
pressure_drop_x_wind,10278.427001953125,64
slp_hpa_lag6,10241.5414352417,73
slp_hpa_lag1,9956.014179229736,61
temp_c_rollmean3,9867.985382080078,33
dew_depression_rollstd6,9518.112327575684,70
dew_depression_lag1,9426.410892486572,39
temp_c_rollstd6,9114.127925872803,60
hour_sin,9107.521404266357,64
temp_c_lag6,8914.451267242432,50
wind_dir_sin,8807.436630249023,65
temp_c_rollstd12,8679.515079498291,71
hour_cos,8576.81930923462,64
wind_knots_rollstd3,7626.927291870117,59
dew_c_rollmean12,7623.511833190918,50
dew_depression_rollmean3,7612.33243560791,34
dew_depression_lag12,7561.8070068359375,63
slp_hpa_lag3,7505.408416748047,55
temp_c,7380.323329925537,46
dew_depression_lag6,7338.853218078613,61
dew_depression_lag3,7212.997631072998,44
dew_depression_rollmean6,7156.825283050537,48
temp_c_rollmean6,7062.046825408936,48
dew_depression_rollstd3,6752.084205627441,44
dew_c,6640.568386077881,37
dew_c_rollmean6,6020.546691894531,37
wind_knots_lag12,5825.480319976807,34
ceiling_m_rollmean6,5777.448101043701,55
dew_c_rollstd3,5707.910583496094,46
vis_km_rollstd12,5585.604305267334,52
dew_depression_lag2,5058.194114685059,28
dew_c_lag6,5010.909122467041,34
dew_c_rollmean3,4961.946754455566,35
ceiling_m_rollmean3,4823.033008575439,31
wind_knots_lag6,4809.76477432251,34
dew_depression_min_3h,4435.265731811523,27
dew_c_lag3,4390.957275390625,12
vis_km_rollmean12,4369.5625,33
ceiling_m_lag12,4345.659370422363,27
wind_dir_sin_coastal,4241.309524536133,21
ceiling_m_lag2,4151.108795166016,12
temp_c_lag1,3925.5037117004395,24
precip_mm_rollstd12,3822.450973510742,32
precip_mm_rollmean12,3699.5492935180664,31
vis_km_rollmean6,3575.8041381835938,24
lon,3158.311019897461,15
wind_knots_lag2,3005.071487426758,22
dew_c_lag1,2921.6276893615723,19
ceiling_m_lag3,2749.092014312744,22
wind_knots_lag3,2608.5293197631836,22
temp_c_lag3,2478.3180809020996,20
dew_c_lag2,2276.1061820983887,13
precip_mm_rollstd6,2247.7140884399414,21
vis_km_rollstd6,2198.761016845703,22
temp_c_lag2,2058.392379760742,15
vis_km_lag6,1942.7304153442383,11
vis_km_lag12,1514.7811088562012,13
ceiling_m_lag6,1490.8091888427734,12
vis_km_lag3,1436.7158203125,11
wind_dir_cos_coastal,1305.4915046691895,10
precip_mm_rollmean6,1089.1833877563477,11
precip_mm_rollmean3,946.9390029907227,9
vis_km_rollstd3,913.0132064819336,12
precip_mm_lag12,813.1284866333008,7
ceiling_unknown,739.5915031433105,6
calm_and_saturated_coastal,689.1839981079102,7
precip_mm_rollstd3,688.3546028137207,7
precip_mm,556.4984016418457,6
elev_m,507.6868095397949,5
vis_km_lag2,491.4739990234375,7
precip_mm_lag1,475.6074028015137,6
calm_and_saturated,333.5849914550781,1
precip_mm_lag3,244.54940032958984,2
precip_mm_lag6,240.70919036865234,3
wind_spike,202.45919799804688,2
coastal,190.46939849853516,2
precip_mm_lag2,101.65299987792969,1
