feature,gain,split
wind_knots,411419.79895591736,261
vis_km_lag1,382766.4706916809,77
vis_km,156438.05843544006,200
dew_depression,127329.09857177734,214
ceiling_m,50606.818994522095,181
wind_knots_rollmean3,46535.98371505737,149
vis_km_rollmean3,42943.8592338562,67
slp_hpa_rollmean3,39935.44270133972,85
doy_cos,38060.6379776001,305
wind_knots_lag1,28247.280521392822,115
doy_sin,26351.538410186768,271
slp_hpa_lag12,25946.442575454712,251
slp_hpa,25654.309982299805,124
slp_delta_6h,25211.6396818161,196
wind_knots_rollmean12,25073.67329597473,232
ceiling_m_rollstd3,22443.265451431274,102
hour_sin,22099.366889953613,144
slp_hpa_rollmean12,21855.94832801819,170
slp_hpa_rollstd3,20875.662440299988,211
ceiling_m_rollstd6,20765.682916641235,104
ceiling_m_rollstd12,19601.832286834717,160
slp_hpa_rollstd6,19292.594594955444,215
slp_hpa_rollstd12,18959.972011566162,221
temp_c_lag12,18457.093688964844,122
slp_hpa_rollmean6,18225.62456893921,150
ceiling_m_rollmean12,17379.218910217285,148
dew_c_rollstd6,17284.954412460327,175
dew_c_rollmean12,16820.514108657837,123
wind_dir_cos,16807.5814743042,135
wind_accel_1h,16670.21598625183,136
dew_c_rollstd12,16255.454469680786,192
dew_depression_rollstd12,14804.304946899414,177
slp_delta_3h,14693.527053833008,173
wind_knots_rollstd12,14686.407066345215,186
slp_hpa_lag2,14536.703662872314,102
dew_depression_rollmean12,14409.358251571655,149
temp_c_rollstd6,14358.901916503906,137
temp_c_lag6,14346.601778030396,96
dew_depression_rollmean6,14295.091371536255,132
wind_knots_rollstd6,14211.727262496948,185
temp_c_rollstd12,13782.972826004028,170
temp_c_rollmean12,13717.473588943481,140
temp_c_rollmean6,13675.05327796936,102
dew_depression_rollstd6,13569.992107391357,142
slp_hpa_lag6,12714.723224639893,137
wind_knots_lag12,12563.260242462158,98
ceiling_m_rollmean6,12431.117641448975,148
wind_knots_rollmean6,12272.691776275635,142
dew_depression_lag1,12210.309568405151,105
dew_depression_lag6,11772.28678894043,123
elev_m,11767.446243286133,12
ceiling_m_lag1,11534.87844467163,56
slp_hpa_lag1,11523.528022766113,116
wind_dir_sin,11351.042821884155,128
dew_depression_rollmean3,11119.063974380493,68
lat,10963.249820709229,52
wind_knots_rollstd3,10947.876259803772,122
temp_c,10865.55253791809,85
temp_c_rollstd3,10740.67379951477,133
dew_depression_rollstd3,10606.4035987854,122
dew_depression_lag12,10471.088335037231,132
dew_c_rollmean6,10461.29658317566,79
dew_c_lag12,10393.814950942993,113
slp_hpa_lag3,9626.818086624146,99
hour_cos,9255.066625595093,94
ceiling_m_rollmean3,9174.234968185425,86
dew_depression_lag2,9098.54634475708,70
dew_c_rollstd3,9044.591598510742,95
vis_km_rollstd12,8816.737688064575,114
vis_km_rollmean12,7957.845914840698,94
dew_depression_lag3,7930.135065078735,94
dew_c,6445.725301742554,59
dew_c_lag6,6359.814836502075,71
wind_knots_lag6,5966.759885787964,78
temp_c_rollmean3,5951.368970870972,52
vis_km_rollmean6,5929.359113693237,60
precip_mm_rollstd12,5893.465579986572,68
precip_mm_rollmean12,5322.652997970581,62
temp_c_lag1,5282.029640197754,56
dew_c_rollmean3,5246.317195892334,54
vis_km_rollstd6,4858.587993621826,62
wind_knots_lag3,4821.958692550659,51
wind_knots_lag2,4302.649984359741,56
dew_c_lag1,3969.091781616211,38
dew_c_lag3,3816.4135150909424,37
precip_mm_rollstd6,3774.456439971924,37
ceiling_m_lag3,3660.0415954589844,46
temp_c_lag3,3657.0047149658203,36
ceiling_m_lag12,3530.6323013305664,51
ceiling_m_lag6,3380.1598052978516,47
ceiling_m_lag2,3176.3270988464355,40
temp_c_lag2,3171.3111362457275,30
vis_km_rollstd3,3171.1292037963867,49
lon,2810.481424331665,22
dew_c_lag2,2485.850357055664,24
vis_km_lag12,2161.539596557617,35
vis_km_lag3,2124.069787979126,31
precip_mm_rollmean6,1917.7401962280273,30
precip_mm_rollstd3,1175.3140869140625,18
vis_km_lag6,1173.834701538086,25
precip_mm_rollmean3,972.8312034606934,14
precip_mm_lag3,908.5193920135498,18
coastal,908.3813247680664,3
vis_km_lag2,846.8047962188721,16
precip_mm_lag2,825.8899993896484,13
precip_mm_lag6,792.1777954101562,13
precip_mm_lag1,751.4563064575195,12
precip_mm,660.4629058837891,9
wind_spike,657.272310256958,6
precip_mm_lag12,582.8115158081055,4
ceiling_unknown,480.08770751953125,7
